#Input Size	Average Time (ms)	Throughput (Passwords/s)
16	32.2802	495.6586175558856
32	43.4129	737.1064923494478
64	63.9243	1001.183130174074
128	103.6968	1234.3669487240468
256	199.8224	1281.1371116775829
512	400.307	1279.018188866453
1024	867.7167	1180.1086092675423
2048	1747.488	1171.9679832470108
4096	3754.4298	1090.9779072656213
8192	7660.7882	1069.3416614521716
16384	14525.6661	1127.9345011144887
32768	28513.1149	1149.2255424920638
