#Input Size	Average Time (ms)	Throughput (Messages/s)
256	28.4423	9000.666618263935
512	30.8811	16579.669241902353
1024	37.106	27596.587674172544
2048	64.2256	31887.574145914867
4096	93.8321	43652.434444421044
8192	152.2565	53803.938599741676
16384	225.7951	72561.35031942994
32768	384.2773	85271.74152482171
65536	716.8639	91420.41801033374
131072	1383.7934	94719.33924195942
262144	2795.9512	93758.42898493132
524288	6617.2567	79230.41475318052
1048576	14099.2881	74370.84708243472
