#Input Size	Average Time (ms)	Throughput (elements/s)
64	37.9808	1685.059418377473
128	43.0756	2971.5152406230895
256	47.7765	5358.281155500773
512	60.4744	8466.385857519766
1024	89.0342	11501.193718534832
2048	138.2296	14815.929439136045
4096	244.7862	16732.966006056304
