#Input Size	Average Time (ms)	Throughput (Password bits/s)
64	4.6346	13809.095586284546
128	4.9035	26103.377280175755
256	5.245	48808.021059339204
512	9.1569	55913.58672716924
1024	14.3627	71295.72169243977
2048	23.0285	88932.95750459455
4096	34.737	117914.54697084235
