#Input Size	Average Time (ms)	Throughput (elements/s)
256	440.6811	580.9188204638502
512	517.9626	988.4882397179433
1024	760.7158	1346.10051923205
2048	1378.3128	1485.8745969898896
4096	2688.6249	1523.455306281772
8192	5396.6845	1517.9690362926756
16384	11133.7558	1471.56091588385
32768	22792.3759	1437.6737260472814
65536	46545.3478	1408.0032284524025
131072	95418.9967	1373.6468041941987
262144	195418.1702	1341.4515119601165
