#Input Size	Average Time (ms)	Throughput (elements/s)
256	1885.8714	135.74626130669586
512	4047.121	126.5096827286646
1024	9302.8055	110.07432089153252
2048	22040.0663	92.92168029570307
4096	45185.2572	90.64903581398713
8192	92144.3142	88.90402050559685
16384	184708.1355	88.70210267484401
32768	350591.8974	93.46479549184289
