#Input Size	Average Time (ms)	Throughput (elements/s)
256	291.4397	878.3978275478655
512	280.4027	1825.9447451038998
1024	270.0874	3791.3640081068097
2048	299.9607	6827.559899259388
4096	336.8323	12160.350719081827
8192	348.3359	23517.524188507115
16384	420.6157	38952.419192012894
32768	487.2288	67253.81600113082
65536	616.6646	106274.93783392085
131072	918.7587	142662.043916639
262144	1609.0231	162921.21416244312
524288	3094.3175	169435.7460311519
1048576	6357.4407	164936.81020159437
2097152	12856.122	163124.77394864926
4194304	22558.2537	185932.1222690846
